job_title,education_level,experience_years,skills_count,industry,company_size,location,remote_work,certifications,salary
Actuary,Master,20,15,Education,Medium,Singapore,Yes,0,194556
Data Scientist,PhD,17,3,Finance,Medium,Netherlands,Hybrid,3,161188
Statistician,PhD,9,16,Consulting,Small,UK,Hybrid,5,156923
Actuary,High School,2,9,Government,Large,UK,No,3,150104
Actuary,Master,4,17,Consulting,Enterprise,Netherlands,No,2,175882
Data Scientist,PhD,2,18,Manufacturing,Large,Netherlands,Hybrid,5,153715
Systems analyst,Diploma,0,1,Retail,Enterprise,Canada,Yes,1,128777
Math teacher,Diploma,20,13,Media,Small,Remote,Hybrid,0,139296
AI researcher,Bachelor,9,12,Finance,Medium,Germany,Yes,3,140099
Operations research analyst,Diploma,3,18,Technology,Medium,USA,No,2,179209
AI researcher,Master,4,2,Manufacturing,Medium,UK,No,1,127163
Risk analyst,PhD,12,18,Manufacturing,Small,Remote,Yes,5,165230
Cybersecurity Analyst,Diploma,13,10,Education,Enterprise,USA,Yes,1,214121
Operations research analyst,Master,14,2,Finance,Startup,Sweden,Hybrid,1,146091
Risk analyst,Master,4,8,Government,Medium,Singapore,Yes,2,128586
Statistician,High School,0,8,Finance,Small,India,No,2,43673
Cybersecurity Analyst,PhD,2,2,Telecom,Startup,Netherlands,Hybrid,1,112803
Software Engineer,PhD,5,18,Education,Small,Singapore,No,4,141440
Data Scientist,High School,4,14,Finance,Small,Sweden,No,4,105485
Operations research analyst,High School,5,1,Finance,Startup,Remote,No,1,116698
Operations research analyst,High School,1,11,Manufacturing,Small,Remote,Hybrid,5,125249
Statistician,Master,17,2,Finance,Enterprise,Remote,No,2,149199
Math teacher,Master,8,15,Retail,Enterprise,Singapore,Hybrid,4,181039
Actuary,Bachelor,2,18,Telecom,Small,Australia,Yes,4,138281
Cybersecurity Analyst,High School,0,15,Government,Medium,Netherlands,Yes,2,108552
Statistician,High School,9,4,Retail,Small,Canada,Yes,3,111070
Financial modeler,Master,1,11,Finance,Enterprise,Sweden,Hybrid,3,147586
Systems analyst,Bachelor,6,10,Consulting,Startup,Remote,Hybrid,4,96708
Actuary,High School,1,16,Telecom,Medium,India,Hybrid,0,75134
Data Scientist,High School,0,10,Healthcare,Large,Singapore,No,0,91611
Actuary,Bachelor,15,2,Finance,Medium,Australia,Hybrid,4,158477
Math teacher,Bachelor,15,2,Manufacturing,Small,Remote,Hybrid,0,134092
Actuary,Bachelor,15,13,Education,Small,USA,Yes,0,199092
Data Scientist,Bachelor,10,1,Finance,Medium,India,Hybrid,1,77841
Math teacher,Diploma,8,17,Media,Enterprise,UK,Hybrid,2,191969
AI researcher,PhD,18,10,Education,Enterprise,Canada,Hybrid,0,230129
Operations research analyst,PhD,6,18,Healthcare,Small,UK,No,4,192544
Operations research analyst,Bachelor,14,15,Education,Startup,USA,Hybrid,2,195834
Systems analyst,High School,5,13,Telecom,Small,Remote,No,2,91428
Risk analyst,PhD,20,4,Government,Large,Singapore,Hybrid,2,195494
AI researcher,Diploma,19,10,Telecom,Large,India,No,4,109343
AI researcher,Diploma,6,1,Telecom,Startup,Canada,Hybrid,4,106000
Cybersecurity Analyst,PhD,3,2,Healthcare,Medium,Sweden,Hybrid,5,146195
Actuary,High School,16,9,Technology,Large,Netherlands,Hybrid,4,171372
Operations research analyst,Diploma,4,14,Education,Large,UK,Hybrid,5,185772
Data Scientist,Master,7,6,Education,Small,Australia,Hybrid,2,126020
Data Analyst,Diploma,1,8,Retail,Small,Sweden,Hybrid,1,69512
Data Analyst,High School,3,17,Consulting,Small,Australia,Yes,5,87017
Math teacher,Bachelor,19,2,Healthcare,Startup,Australia,No,1,130127
Operations research analyst,High School,18,19,Finance,Enterprise,India,No,1,146788
Operations research analyst,Master,6,18,Healthcare,Enterprise,USA,Yes,2,257220
Systems analyst,High School,9,5,Technology,Enterprise,Remote,No,3,130233
Data Analyst,Master,20,1,Manufacturing,Medium,Netherlands,Hybrid,5,136237
Operations research analyst,Bachelor,17,4,Healthcare,Large,Remote,Yes,4,193382
Systems analyst,PhD,2,9,Retail,Small,Netherlands,No,1,108377
Actuary,High School,11,3,Retail,Medium,Netherlands,No,0,127942
Financial modeler,PhD,7,16,Manufacturing,Medium,Australia,Yes,0,154734
Cybersecurity Analyst,High School,4,8,Education,Large,USA,Hybrid,0,147623
Software Engineer,Diploma,17,12,Manufacturing,Medium,Canada,No,1,169738
AI researcher,High School,8,9,Media,Medium,Netherlands,Hybrid,5,119058
Risk analyst,Diploma,11,12,Telecom,Small,Germany,No,5,145411
Math teacher,High School,4,2,Consulting,Enterprise,Sweden,No,0,133017
Financial modeler,Bachelor,4,5,Healthcare,Small,Germany,No,2,120288
Cybersecurity Analyst,High School,9,6,Manufacturing,Large,USA,Hybrid,1,161018
Cybersecurity Analyst,Bachelor,2,4,Media,Medium,Germany,Yes,3,124820
Cybersecurity Analyst,High School,12,5,Manufacturing,Small,Germany,Yes,5,127732
Cybersecurity Analyst,PhD,11,14,Media,Small,Singapore,No,1,154429
Data Analyst,Master,11,6,Finance,Startup,Remote,Hybrid,4,107522
Systems analyst,Bachelor,19,2,Finance,Startup,Remote,No,1,119000
AI researcher,Bachelor,3,7,Media,Small,Netherlands,No,1,90498
Operations research analyst,Bachelor,12,17,Retail,Startup,Australia,Yes,1,155950
Cybersecurity Analyst,High School,7,12,Education,Medium,Germany,No,1,131691
Risk analyst,Master,9,16,Technology,Startup,Singapore,No,0,125003
Operations research analyst,Diploma,0,4,Manufacturing,Medium,Netherlands,Hybrid,4,132180
Data Scientist,Diploma,20,15,Manufacturing,Medium,USA,No,3,202015
Data Scientist,Master,11,16,Finance,Small,USA,Yes,1,188674
Risk analyst,Master,8,5,Technology,Medium,Germany,Hybrid,1,156657
Systems analyst,Master,17,9,Education,Small,Australia,Yes,5,158023
Risk analyst,Diploma,6,6,Technology,Enterprise,USA,No,1,185816
Data Analyst,High School,5,3,Manufacturing,Small,USA,No,4,106642
Risk analyst,Diploma,5,12,Education,Large,UK,Yes,2,157474
Actuary,Master,11,17,Telecom,Small,Remote,Hybrid,0,159308
Operations research analyst,Diploma,17,3,Finance,Large,Canada,Hybrid,4,220056
Financial modeler,High School,20,6,Healthcare,Large,India,Yes,4,118711
Statistician,High School,19,10,Telecom,Medium,Australia,No,2,117736
Systems analyst,High School,19,3,Consulting,Medium,Singapore,Yes,5,134365
Risk analyst,High School,19,12,Finance,Medium,Australia,Yes,0,150970
Math teacher,High School,1,13,Consulting,Small,UK,Hybrid,3,119092
Data Scientist,PhD,13,10,Government,Startup,Singapore,Hybrid,3,143921
Actuary,Diploma,16,14,Media,Medium,USA,Hybrid,4,211447
AI researcher,High School,7,5,Government,Medium,Singapore,Yes,2,114572
Cybersecurity Analyst,Master,4,2,Government,Enterprise,Germany,Yes,1,162008
Statistician,Diploma,19,11,Media,Enterprise,Canada,No,2,183378
Systems analyst,Master,10,1,Technology,Large,Singapore,Yes,4,145624
Financial modeler,PhD,2,4,Media,Enterprise,USA,Yes,0,203814
Statistician,High School,11,2,Manufacturing,Large,Canada,Yes,0,124494
Risk analyst,Diploma,14,19,Manufacturing,Medium,Germany,Hybrid,4,167683
Data Analyst,Master,10,8,Telecom,Enterprise,Sweden,No,1,132351
Data Scientist,High School,18,19,Manufacturing,Large,Canada,No,0,192915
Data Scientist,Master,10,4,Manufacturing,Medium,UK,Yes,2,161920
AI researcher,Diploma,19,9,Government,Small,Remote,No,1,135226
Data Analyst,PhD,15,9,Telecom,Large,India,Yes,5,121352
Cybersecurity Analyst,High School,7,17,Education,Small,Singapore,No,3,118153
Operations research analyst,Bachelor,7,15,Media,Large,USA,Hybrid,4,221101
Software Engineer,PhD,0,9,Consulting,Enterprise,Canada,Yes,0,179616
Actuary,Master,0,19,Telecom,Small,Germany,Yes,2,149302
Data Scientist,High School,0,4,Finance,Startup,Germany,Hybrid,1,83414
Math teacher,Master,5,19,Telecom,Medium,Canada,Hybrid,3,176127
Data Scientist,PhD,0,19,Healthcare,Medium,Netherlands,Yes,0,138336
Statistician,Bachelor,8,10,Consulting,Enterprise,Canada,Yes,1,146263
Data Scientist,PhD,9,19,Finance,Small,Australia,Hybrid,0,148382
Systems analyst,PhD,14,4,Healthcare,Small,USA,Hybrid,5,186583
Data Scientist,High School,8,6,Media,Startup,Australia,Hybrid,2,103678
Software Engineer,Master,12,1,Retail,Small,Germany,Yes,0,141082
Software Engineer,Bachelor,13,13,Manufacturing,Large,Remote,Yes,2,155339
Cybersecurity Analyst,Diploma,14,4,Consulting,Large,India,Hybrid,3,97308
Financial modeler,High School,3,13,Media,Small,Netherlands,No,0,97030
Operations research analyst,Diploma,11,6,Education,Medium,UK,Yes,2,180105
Math teacher,High School,12,6,Education,Enterprise,Canada,Hybrid,0,188852
Data Scientist,Diploma,6,12,Government,Small,Canada,Hybrid,4,134908
Data Scientist,Master,14,2,Consulting,Small,Germany,Yes,1,144017
Actuary,Bachelor,20,16,Education,Medium,India,No,0,121755
Software Engineer,Diploma,1,2,Manufacturing,Enterprise,UK,No,4,134193
Math teacher,High School,20,9,Education,Enterprise,Remote,Yes,1,192258
Cybersecurity Analyst,High School,5,4,Media,Small,Germany,Hybrid,1,108329
AI researcher,High School,4,1,Media,Large,Canada,Hybrid,3,120687
Financial modeler,Diploma,0,19,Education,Startup,Sweden,Yes,4,97795
Operations research analyst,Master,9,19,Retail,Small,Canada,Yes,3,206331
Data Analyst,Diploma,18,16,Retail,Medium,Remote,No,3,123724
Operations research analyst,Bachelor,7,5,Retail,Enterprise,Netherlands,Yes,3,183343
Systems analyst,PhD,14,16,Retail,Large,UK,Hybrid,2,189181
Statistician,High School,1,4,Media,Small,Singapore,Hybrid,5,73208
Systems analyst,High School,12,17,Telecom,Medium,India,Yes,4,84446
Data Scientist,Master,3,14,Finance,Enterprise,USA,Hybrid,0,179260
Financial modeler,Bachelor,2,11,Consulting,Small,Remote,Yes,4,117580
Statistician,Diploma,0,5,Manufacturing,Small,India,No,2,49398
Math teacher,High School,15,15,Healthcare,Startup,Netherlands,No,3,134048
Data Analyst,Bachelor,9,17,Media,Small,UK,Hybrid,4,113902
Software Engineer,Diploma,5,11,Healthcare,Small,Remote,Hybrid,2,101078
Financial modeler,Diploma,4,18,Retail,Large,Singapore,No,1,129419
Financial modeler,Diploma,16,9,Retail,Small,Remote,Yes,1,141488
Systems analyst,Diploma,3,14,Manufacturing,Large,USA,No,2,138279
Data Scientist,Master,19,6,Healthcare,Startup,USA,Hybrid,5,188568
Risk analyst,High School,11,17,Government,Small,India,Yes,4,92273
Cybersecurity Analyst,Master,17,14,Technology,Enterprise,India,No,3,136311
Systems analyst,Diploma,1,3,Government,Small,Netherlands,Hybrid,3,76077
Financial modeler,Diploma,10,7,Technology,Enterprise,Germany,No,2,170336
Actuary,PhD,8,4,Consulting,Small,Australia,Hybrid,1,143125
Data Analyst,High School,5,15,Manufacturing,Small,Australia,No,5,94165
Cybersecurity Analyst,Diploma,5,12,Finance,Medium,USA,Hybrid,3,146361
Systems analyst,Master,4,10,Finance,Small,Netherlands,No,5,116522
Data Analyst,High School,2,19,Technology,Startup,USA,Yes,4,98885
Actuary,Master,4,15,Finance,Small,Netherlands,No,3,144242
AI researcher,Bachelor,11,17,Finance,Enterprise,Singapore,Yes,3,172732
Actuary,Diploma,20,8,Consulting,Enterprise,Sweden,Yes,5,211497
Actuary,Master,9,2,Education,Startup,Netherlands,Yes,3,135576
Data Analyst,PhD,9,16,Education,Medium,Germany,Hybrid,3,135500
Operations research analyst,Diploma,16,2,Healthcare,Small,Singapore,No,3,143712
Data Analyst,Master,3,16,Consulting,Small,Netherlands,Yes,2,101591
Risk analyst,Bachelor,14,5,Finance,Startup,Remote,Hybrid,3,131106
Data Scientist,Master,17,6,Government,Medium,Australia,Yes,3,163381
Statistician,Master,17,2,Retail,Medium,Netherlands,No,3,139419
Operations research analyst,Master,16,14,Healthcare,Startup,UK,Hybrid,4,194819
Software Engineer,PhD,16,18,Education,Small,Australia,Hybrid,3,156195
Statistician,Bachelor,18,5,Technology,Small,Sweden,Yes,1,116535
Data Scientist,Diploma,13,17,Telecom,Small,UK,Hybrid,0,151402
Systems analyst,Bachelor,15,13,Healthcare,Medium,Sweden,No,2,137313
Cybersecurity Analyst,High School,11,19,Technology,Small,Netherlands,No,4,134961
Risk analyst,High School,10,7,Retail,Medium,UK,Yes,2,148582
Risk analyst,High School,14,5,Media,Medium,Canada,Yes,4,162647
Software Engineer,PhD,18,6,Telecom,Medium,Singapore,No,2,167616
Operations research analyst,Diploma,20,12,Healthcare,Large,India,Yes,0,133712
AI researcher,High School,20,14,Consulting,Small,Germany,Yes,3,150019
Actuary,Diploma,6,6,Media,Large,USA,Yes,0,181620
Operations research analyst,High School,1,18,Retail,Enterprise,Netherlands,Yes,3,162763
Cybersecurity Analyst,PhD,13,3,Technology,Large,Netherlands,Hybrid,3,166904
AI researcher,Bachelor,15,15,Technology,Medium,UK,Yes,2,163999
Risk analyst,Diploma,5,12,Consulting,Large,UK,No,2,148246
Data Analyst,Bachelor,6,7,Education,Startup,Canada,No,3,105109
Cybersecurity Analyst,High School,15,13,Technology,Startup,Sweden,Hybrid,5,123557
Data Scientist,Bachelor,11,11,Media,Startup,UK,No,4,143368
Software Engineer,High School,6,1,Consulting,Small,Australia,No,3,97296
Data Scientist,PhD,4,10,Retail,Medium,UK,Hybrid,2,150628
Cybersecurity Analyst,Diploma,2,19,Government,Medium,Remote,Yes,1,116699
Math teacher,Bachelor,11,13,Government,Small,Germany,Yes,4,166046
Math teacher,Master,17,9,Consulting,Small,Australia,Hybrid,0,151888
Systems analyst,High School,13,12,Retail,Startup,Sweden,Hybrid,2,106247
Operations research analyst,PhD,20,13,Manufacturing,Enterprise,India,Yes,2,172891
Risk analyst,PhD,18,17,Media,Startup,Germany,Hybrid,2,179650
Risk analyst,PhD,3,2,Telecom,Small,Netherlands,Hybrid,1,122823
Actuary,Bachelor,12,4,Media,Enterprise,India,No,4,137499
Actuary,High School,10,9,Telecom,Small,Remote,Hybrid,0,129333
Actuary,Diploma,5,1,Technology,Small,UK,Yes,2,146376
Data Analyst,Diploma,17,12,Technology,Enterprise,Remote,No,0,138893
Statistician,Diploma,8,10,Media,Enterprise,USA,Hybrid,1,165706
Financial modeler,Diploma,5,9,Education,Enterprise,Germany,No,4,166113
Statistician,Diploma,1,2,Telecom,Startup,Singapore,Hybrid,0,52787
Data Scientist,Bachelor,7,3,Finance,Small,USA,No,5,151186
Statistician,PhD,16,5,Healthcare,Medium,Germany,Yes,5,161500
Data Analyst,PhD,1,10,Retail,Enterprise,Singapore,Yes,4,127587
Systems analyst,Bachelor,8,8,Media,Enterprise,India,Yes,3,98399
Data Scientist,Diploma,17,10,Consulting,Medium,Germany,Yes,1,164173
Statistician,Diploma,11,17,Retail,Enterprise,USA,Yes,5,182305
Data Analyst,High School,2,16,Healthcare,Enterprise,Canada,Hybrid,1,111691
Financial modeler,PhD,7,19,Healthcare,Medium,Canada,Yes,5,193283
Statistician,Diploma,20,14,Consulting,Large,Sweden,Yes,1,148056
Data Analyst,Bachelor,12,17,Healthcare,Medium,India,Yes,3,88963
Actuary,Master,6,11,Media,Medium,Germany,Hybrid,1,163077
Risk analyst,Bachelor,12,3,Education,Large,India,Yes,3,104751
Actuary,Diploma,6,17,Manufacturing,Small,India,Yes,0,92541
Risk analyst,Diploma,18,7,Media,Enterprise,Sweden,No,5,187965
Software Engineer,Diploma,8,11,Manufacturing,Small,Netherlands,Yes,2,101905
Software Engineer,PhD,11,1,Healthcare,Large,Remote,No,2,152683
Software Engineer,PhD,2,15,Consulting,Enterprise,India,Hybrid,4,116761
Financial modeler,Bachelor,18,13,Healthcare,Medium,Germany,Yes,3,177621
Actuary,Bachelor,15,13,Media,Startup,India,No,5,110903
Risk analyst,PhD,10,6,Healthcare,Large,Germany,Yes,3,200250
Data Analyst,PhD,20,14,Consulting,Medium,Remote,No,2,153652
Data Scientist,Bachelor,0,17,Manufacturing,Small,Remote,Hybrid,1,97183
Data Analyst,Master,15,11,Education,Small,Remote,Hybrid,3,127508
Data Scientist,Bachelor,5,9,Education,Startup,Netherlands,Hybrid,4,110035
Math teacher,Bachelor,15,14,Consulting,Medium,UK,Hybrid,2,178035
Data Analyst,PhD,19,6,Manufacturing,Medium,USA,Hybrid,3,192699
Statistician,Master,7,1,Healthcare,Enterprise,Germany,Yes,1,140720
Statistician,Master,1,15,Telecom,Startup,India,No,0,62524
Operations research analyst,Bachelor,13,7,Finance,Enterprise,India,Yes,1,131994
Actuary,Bachelor,1,13,Consulting,Large,Australia,No,5,139386
Data Scientist,Master,3,16,Media,Large,Australia,Hybrid,2,137321
Data Scientist,High School,17,14,Finance,Enterprise,Netherlands,Yes,4,185705
Cybersecurity Analyst,High School,11,10,Telecom,Startup,UK,Hybrid,1,132600
Systems analyst,High School,11,16,Finance,Medium,Sweden,Hybrid,5,113694
Actuary,Bachelor,1,16,Consulting,Large,Germany,Yes,2,160359
Financial modeler,Master,4,18,Telecom,Startup,Germany,Hybrid,3,132371
Operations research analyst,PhD,0,7,Media,Small,Sweden,Hybrid,2,139524
Financial modeler,Bachelor,17,18,Technology,Startup,India,Hybrid,1,100209
Financial modeler,Diploma,3,7,Media,Startup,Remote,Yes,3,114225
Financial modeler,Master,4,8,Finance,Small,Germany,Hybrid,2,137773
Actuary,High School,12,1,Telecom,Startup,UK,Hybrid,2,143449
Financial modeler,Bachelor,1,11,Education,Medium,Netherlands,Yes,4,120922
Statistician,Bachelor,10,5,Government,Enterprise,Netherlands,No,4,127909
Systems analyst,High School,9,4,Manufacturing,Startup,UK,Yes,5,119959
Systems analyst,PhD,13,15,Consulting,Large,UK,Hybrid,5,197983
Software Engineer,Master,17,15,Finance,Large,Singapore,No,4,179877
Math teacher,Master,20,17,Manufacturing,Large,India,Hybrid,4,142857
Data Scientist,PhD,11,8,Consulting,Medium,Singapore,Yes,4,154520
Cybersecurity Analyst,Master,18,10,Healthcare,Large,Canada,Hybrid,0,213952
Data Scientist,PhD,6,5,Government,Large,Singapore,No,5,167014
Math teacher,Diploma,20,15,Government,Small,Remote,No,2,149186
Cybersecurity Analyst,Bachelor,0,17,Manufacturing,Enterprise,UK,Hybrid,2,151900
Actuary,Bachelor,14,7,Technology,Large,USA,Yes,2,228160
Data Analyst,Master,1,15,Government,Startup,Canada,Hybrid,3,108242
Actuary,Diploma,16,16,Manufacturing,Medium,Netherlands,Hybrid,3,170617
Data Scientist,PhD,8,14,Media,Small,Sweden,Hybrid,0,135915
Data Scientist,High School,7,15,Education,Large,Singapore,No,1,120060
Cybersecurity Analyst,Diploma,8,5,Education,Large,Sweden,Hybrid,4,130540
Cybersecurity Analyst,Bachelor,6,7,Consulting,Small,India,Hybrid,3,85823
Math teacher,PhD,11,3,Retail,Medium,Canada,Yes,1,193385
Financial modeler,Master,4,19,Finance,Medium,UK,Hybrid,5,160900
Actuary,PhD,2,18,Technology,Small,Singapore,Yes,3,144134
Cybersecurity Analyst,Master,15,13,Government,Enterprise,Canada,Hybrid,1,219706
Risk analyst,PhD,0,5,Consulting,Enterprise,UK,Hybrid,4,188551
Math teacher,High School,14,16,Healthcare,Enterprise,Singapore,Yes,3,191782
Statistician,PhD,13,5,Consulting,Small,Australia,Hybrid,5,123670
Data Scientist,PhD,10,8,Technology,Small,Canada,Hybrid,1,160635
Math teacher,High School,10,10,Technology,Startup,Singapore,No,4,127255
Actuary,Diploma,7,2,Manufacturing,Enterprise,Germany,Hybrid,3,164902
Cybersecurity Analyst,Diploma,18,15,Technology,Startup,Australia,No,3,140468
Data Scientist,Bachelor,11,7,Technology,Enterprise,Sweden,Hybrid,1,150991
